RunNumber  LumiSec  EventNumber  CRid  MET  MET_phi  MT  MINDPHI  MT2W  lep1_pt  lep1_eta  lep1_phi  lep2_pt  lep2_eta  lep2_phi  passTrackIso  passTau  nSelJets  nBJets  jet1Pt  jet2Pt
run=258177  ls=198  evt=302534955  CR=4  met=458.575836  metPhi=2.507054  mt=711.027527  minDphi=2.575920  MT2W=141.477707  lep1Pt=276.055969  lep1Eta=1.085891  lep1Phi=-0.554515  lep2Pt=119.569733  lep2Eta=0.573506  lep2Phi=2.450656  PassTrkVeto=1  PassTauVeto=1  nJets=3  nBTags=1  jet1Pt=272.082520  jet2Pt=87.222488 
run=258427  ls=65  evt=114990128  CR=4  met=287.061401  metPhi=0.283117  mt=541.818298  minDphi=0.857122  MT2W=168.871033  lep1Pt=255.866653  lep1Eta=0.565053  lep1Phi=-2.914529  lep2Pt=45.261692  lep2Eta=0.561549  lep2Phi=0.956402  PassTrkVeto=1  PassTauVeto=1  nJets=3  nBTags=1  jet1Pt=139.847107  jet2Pt=44.932255 
run=258445  ls=54  evt=70729033  CR=6  met=390.489899  metPhi=0.886428  mt=190.373550  minDphi=2.728287  MT2W=148.327438  lep1Pt=30.714903  lep1Eta=-0.729779  lep1Phi=2.993403  lep2Pt=0.000000  lep2Eta=0.000000  lep2Phi=0.000000  PassTrkVeto=0  PassTauVeto=0  nJets=9  nBTags=2  jet1Pt=378.609741  jet2Pt=207.740265 
run=258440  ls=630  evt=919713060  CR=5  met=258.555359  metPhi=0.972751  mt=451.390778  minDphi=0.878498  MT2W=157.728714  lep1Pt=200.836349  lep1Eta=-0.504390  lep1Phi=-1.891956  lep2Pt=31.107603  lep2Eta=-0.757883  lep2Phi=1.485229  PassTrkVeto=1  PassTauVeto=1  nJets=3  nBTags=1  jet1Pt=182.316452  jet2Pt=57.403152 
run=258448  ls=471  evt=566293952  CR=5  met=461.578033  metPhi=-2.180521  mt=368.700317  minDphi=2.739024  MT2W=143.241425  lep1Pt=74.619064  lep1Eta=-0.425386  lep1Phi=0.730046  lep2Pt=19.196447  lep2Eta=1.044157  lep2Phi=-2.285560  PassTrkVeto=1  PassTauVeto=1  nJets=6  nBTags=2  jet1Pt=357.661438  jet2Pt=121.062012 
run=258448  ls=543  evt=651732819  CR=5  met=267.397095  metPhi=0.142406  mt=239.617737  minDphi=1.309192  MT2W=165.774399  lep1Pt=63.039291  lep1Eta=-0.748507  lep1Phi=2.492949  lep2Pt=12.663774  lep2Eta=-0.732501  lep2Phi=0.049953  PassTrkVeto=1  PassTauVeto=1  nJets=3  nBTags=1  jet1Pt=253.123581  jet2Pt=60.519398 
run=258448  ls=623  evt=745701370  CR=4  met=325.214661  metPhi=1.929865  mt=344.353729  minDphi=2.590572  MT2W=420.807098  lep1Pt=151.377838  lep1Eta=0.866622  lep1Phi=-2.576740  lep2Pt=99.845894  lep2Eta=-0.138183  lep2Phi=1.532951  PassTrkVeto=1  PassTauVeto=1  nJets=2  nBTags=1  jet1Pt=494.503754  jet2Pt=130.583328 
run=258745  ls=237  evt=388307070  CR=6  met=289.559814  metPhi=-0.058108  mt=161.408112  minDphi=2.217220  MT2W=264.428375  lep1Pt=33.850151  lep1Eta=-1.942340  lep1Phi=1.847922  lep2Pt=0.000000  lep2Eta=0.000000  lep2Phi=0.000000  PassTrkVeto=0  PassTauVeto=1  nJets=3  nBTags=1  jet1Pt=143.825912  jet2Pt=101.776382 
run=258656  ls=246  evt=437194336  CR=4  met=329.024445  metPhi=1.043363  mt=278.981171  minDphi=2.593203  MT2W=264.277832  lep1Pt=67.167885  lep1Eta=-0.114155  lep1Phi=-2.804357  lep2Pt=24.864750  lep2Eta=0.678639  lep2Phi=0.342174  PassTrkVeto=1  PassTauVeto=0  nJets=2  nBTags=1  jet1Pt=214.108704  jet2Pt=54.790653 
run=258428  ls=97  evt=169238288  CR=6  met=315.112396  metPhi=0.025884  mt=333.225586  minDphi=2.613683  MT2W=152.766312  lep1Pt=96.471802  lep1Eta=0.743526  lep1Phi=-2.517483  lep2Pt=0.000000  lep2Eta=0.000000  lep2Phi=0.000000  PassTrkVeto=1  PassTauVeto=0  nJets=4  nBTags=2  jet1Pt=179.385971  jet2Pt=146.743042 
